PACKAGE_NAME,RISK_LEVEL,PROB_MALICIOUS
breakpoints-js-1.0.6,LOW,0.04306
brightleaf__cache-2.0.0,LOW,0.04871
britecharts-2.18.2,MEDIUM,0.05644
broccoli-dependency-funnel-2.1.2,LOW,0.04871
browser-locale-1.0.3,LOW,0.01352
browser-passworder-2.0.3,LOW,0.00037
browser-ui-test-0.22.3,LOW,0.04829
browsery__http-parser-0.5.10-r2,LOW,0.04871
brusc-2.2.0,LOW,0.04871
bs-component-js-0.1.11-beta1,LOW,0.04871
bsb-js-1.1.7,LOW,0.04871
btsd__aitu-bridge-0.5.0,MEDIUM,0.14172
bucks-js-3.0.4,LOW,0.04615
buddy-js__cli-0.0.9,LOW,0.04871
bufferapp__buffer-js-api-0.3.0,LOW,0.00023
bufferapp__buffer-js-request-0.2.0,LOW,0.0
bufferapp__micro-rpc-client-1.5.0,LOW,0.0
bugsnag-source-maps-fork-3.0.0,LOW,0.03062
bugsnag__delivery-react-native-8.6.0,LOW,0.01352
bugsnag__js-8.6.0,LOW,0.01352
bugsnag__plugin-angular-8.6.0,LOW,0.01205
bugsnag__plugin-browser-session-8.6.0,LOW,0.01352
bugsnag__plugin-console-breadcrumbs-8.6.0,LOW,0.01352
bugsnag__plugin-electron-client-state-persistence-8.6.0,LOW,0.04871
bugsnag__plugin-electron-renderer-client-state-updates-8.6.0,LOW,0.04871
bugsnag__plugin-express-8.6.0,LOW,0.00259
bugsnag__plugin-interaction-breadcrumbs-8.6.0,LOW,0.02331
bugsnag__plugin-internal-callback-marker-8.6.0,LOW,0.04871
bugsnag__plugin-koa-8.6.0,LOW,0.01352
bugsnag__plugin-navigation-breadcrumbs-8.6.0,LOW,0.00864
bugsnag__plugin-network-breadcrumbs-8.6.0,LOW,0.0
bugsnag__plugin-node-surrounding-code-8.6.0,LOW,0.04871
bugsnag__plugin-node-uncaught-exception-8.6.0,LOW,0.04871
bugsnag__plugin-node-unhandled-rejection-8.6.0,LOW,0.04871
bugsnag__plugin-react-8.6.0,LOW,0.04871
bugsnag__plugin-react-native-client-sync-8.6.0,LOW,0.04871
bugsnag__plugin-react-native-global-error-handler-8.6.0,LOW,0.04871
bugsnag__plugin-react-native-orientation-breadcrumbs-8.6.0,LOW,0.04871
bugsnag__plugin-react-native-unhandled-rejection-8.6.0,LOW,0.00269
bugsnag__plugin-restify-8.6.0,LOW,0.01352
bugsnag__plugin-stackframe-path-normaliser-8.6.0,LOW,0.01352
bugsnag__plugin-strip-project-root-8.6.0,LOW,0.01352
bugsnag__plugin-strip-query-string-8.6.0,LOW,0.01352
bugsnag__plugin-vue-8.6.0,LOW,0.0031
bugsnag__plugin-window-onerror-8.6.0,LOW,0.00973
bugsnag__plugin-window-unhandled-rejection-8.6.0,LOW,0.0
bugsnag__source-maps-2.3.3,LOW,0.02476
bugsplat__js-api-client-14.0.0,LOW,0.0
build-gradle-reader-1.0.0,LOW,0.04864
build-md-0.4.5,LOW,0.0109
builder-autoprefixer-1.0.4,LOW,0.01352
buildstamp-3.5.0,LOW,0.04871
bumbag__emotion-css-11.1.3-3,MEDIUM,0.14311
bun-plugin-screeps-1.0.0,LOW,0.0
bunchee-6.6.2,LOW,0.00017
bunchtogether__braid-client-1.2.13,LOW,0.01036
bundle-duplicates-plugin-0.0.1,LOW,0.04871
bundled-es-modules__js-levenshtein-2.0.1,LOW,0.04871
bundled-phantomjs-prebuilt-2.1.8-0,MEDIUM,0.04969
bunq-community__bunq-js-client-1.1.2,MEDIUM,0.05185
bunyan-morgan-1.0.1,LOW,0.0
buxlabs__ast-0.11.0,LOW,0.04871
bwip-js-4.8.0,LOW,0.01533
byteclaw__visage-core-1.0.0-alpha.20,MEDIUM,0.14347
