threshold,TP,FP,TN,FN,fpr,fnr,n_pos,n_neg
0.021,472,3265,1985,3,0.6219,0.00632,475,5250
0.0211,472,3263,1987,3,0.62152,0.00632,475,5250
0.0212,472,3260,1990,3,0.62095,0.00632,475,5250
0.0213,472,3259,1991,3,0.62076,0.00632,475,5250
0.0214,472,3256,1994,3,0.62019,0.00632,475,5250
0.0215,472,3251,1999,3,0.61924,0.00632,475,5250
0.0216,472,3251,1999,3,0.61924,0.00632,475,5250
0.0217,472,3248,2002,3,0.61867,0.00632,475,5250
0.0218,472,3243,2007,3,0.61771,0.00632,475,5250
0.0219,472,3242,2008,3,0.61752,0.00632,475,5250
0.022,472,3242,2008,3,0.61752,0.00632,475,5250
0.0221,472,3242,2008,3,0.61752,0.00632,475,5250
0.0222,472,3242,2008,3,0.61752,0.00632,475,5250
0.0223,472,3239,2011,3,0.61695,0.00632,475,5250
0.0224,472,3236,2014,3,0.61638,0.00632,475,5250
0.0225,472,3232,2018,3,0.61562,0.00632,475,5250
0.0226,472,3232,2018,3,0.61562,0.00632,475,5250
0.0227,472,3230,2020,3,0.61524,0.00632,475,5250
0.0228,472,3227,2023,3,0.61467,0.00632,475,5250
0.0229,472,3226,2024,3,0.61448,0.00632,475,5250
0.023,472,3226,2024,3,0.61448,0.00632,475,5250
0.0231,472,3226,2024,3,0.61448,0.00632,475,5250
0.0232,472,3225,2025,3,0.61429,0.00632,475,5250
0.0233,472,3223,2027,3,0.6139,0.00632,475,5250
0.0234,472,3221,2029,3,0.61352,0.00632,475,5250
0.0235,472,3220,2030,3,0.61333,0.00632,475,5250
0.0236,472,3218,2032,3,0.61295,0.00632,475,5250
0.0237,472,3217,2033,3,0.61276,0.00632,475,5250
0.0238,472,3215,2035,3,0.61238,0.00632,475,5250
0.0239,472,3213,2037,3,0.612,0.00632,475,5250
0.024,472,3212,2038,3,0.61181,0.00632,475,5250
0.0241,472,3211,2039,3,0.61162,0.00632,475,5250
0.0242,472,3208,2042,3,0.61105,0.00632,475,5250
0.0243,472,3203,2047,3,0.6101,0.00632,475,5250
0.0244,472,3199,2051,3,0.60933,0.00632,475,5250
0.0245,472,3199,2051,3,0.60933,0.00632,475,5250
0.0246,472,3196,2054,3,0.60876,0.00632,475,5250
0.0247,472,3194,2056,3,0.60838,0.00632,475,5250
0.0248,472,3189,2061,3,0.60743,0.00632,475,5250
0.0249,472,3188,2062,3,0.60724,0.00632,475,5250
0.025,472,3186,2064,3,0.60686,0.00632,475,5250
0.0251,472,3184,2066,3,0.60648,0.00632,475,5250
0.0252,472,3182,2068,3,0.6061,0.00632,475,5250
0.0253,472,3182,2068,3,0.6061,0.00632,475,5250
0.0254,472,3180,2070,3,0.60571,0.00632,475,5250
0.0255,472,3178,2072,3,0.60533,0.00632,475,5250
0.0256,472,3176,2074,3,0.60495,0.00632,475,5250
0.0257,472,3172,2078,3,0.60419,0.00632,475,5250
0.0258,472,3170,2080,3,0.60381,0.00632,475,5250
0.0259,472,3167,2083,3,0.60324,0.00632,475,5250
0.026,472,3167,2083,3,0.60324,0.00632,475,5250
0.0261,472,3167,2083,3,0.60324,0.00632,475,5250
0.0262,472,3163,2087,3,0.60248,0.00632,475,5250
0.0263,472,3158,2092,3,0.60152,0.00632,475,5250
0.0264,472,3157,2093,3,0.60133,0.00632,475,5250
0.0265,472,3157,2093,3,0.60133,0.00632,475,5250
0.0266,472,3156,2094,3,0.60114,0.00632,475,5250
0.0267,472,3153,2097,3,0.60057,0.00632,475,5250
0.0268,472,3150,2100,3,0.6,0.00632,475,5250
0.0269,472,3148,2102,3,0.59962,0.00632,475,5250
0.027,472,3148,2102,3,0.59962,0.00632,475,5250
0.0271,472,3146,2104,3,0.59924,0.00632,475,5250
0.0272,472,3145,2105,3,0.59905,0.00632,475,5250
0.0273,472,3143,2107,3,0.59867,0.00632,475,5250
0.0274,472,3141,2109,3,0.59829,0.00632,475,5250
0.0275,472,3139,2111,3,0.5979,0.00632,475,5250
0.0276,472,3136,2114,3,0.59733,0.00632,475,5250
0.0277,472,3135,2115,3,0.59714,0.00632,475,5250
0.0278,472,3133,2117,3,0.59676,0.00632,475,5250
0.0279,472,3131,2119,3,0.59638,0.00632,475,5250
0.028,472,3128,2122,3,0.59581,0.00632,475,5250
0.0281,472,3128,2122,3,0.59581,0.00632,475,5250
0.0282,472,3126,2124,3,0.59543,0.00632,475,5250
0.0283,472,3126,2124,3,0.59543,0.00632,475,5250
0.0284,472,3124,2126,3,0.59505,0.00632,475,5250
0.0285,472,3123,2127,3,0.59486,0.00632,475,5250
0.0286,472,3122,2128,3,0.59467,0.00632,475,5250
0.0287,472,3121,2129,3,0.59448,0.00632,475,5250
0.0288,472,3118,2132,3,0.5939,0.00632,475,5250
0.0289,472,3118,2132,3,0.5939,0.00632,475,5250
0.029,472,3117,2133,3,0.59371,0.00632,475,5250
0.0291,472,3116,2134,3,0.59352,0.00632,475,5250
0.0292,472,3111,2139,3,0.59257,0.00632,475,5250
0.0293,472,3110,2140,3,0.59238,0.00632,475,5250
0.0294,472,3107,2143,3,0.59181,0.00632,475,5250
0.0295,472,3103,2147,3,0.59105,0.00632,475,5250
0.0296,472,3101,2149,3,0.59067,0.00632,475,5250
0.0297,472,3101,2149,3,0.59067,0.00632,475,5250
0.0298,472,3097,2153,3,0.5899,0.00632,475,5250
0.0299,472,3094,2156,3,0.58933,0.00632,475,5250
0.03,472,3090,2160,3,0.58857,0.00632,475,5250
0.0301,472,3089,2161,3,0.58838,0.00632,475,5250
0.0302,472,3089,2161,3,0.58838,0.00632,475,5250
0.0303,472,3087,2163,3,0.588,0.00632,475,5250
0.0304,472,3084,2166,3,0.58743,0.00632,475,5250
0.0305,472,3082,2168,3,0.58705,0.00632,475,5250
0.0306,472,3081,2169,3,0.58686,0.00632,475,5250
0.0307,472,3078,2172,3,0.58629,0.00632,475,5250
0.0308,472,3077,2173,3,0.5861,0.00632,475,5250
0.0309,472,3075,2175,3,0.58571,0.00632,475,5250
0.031,472,3072,2178,3,0.58514,0.00632,475,5250
0.0311,472,3069,2181,3,0.58457,0.00632,475,5250
0.0312,472,3066,2184,3,0.584,0.00632,475,5250
0.0313,472,3064,2186,3,0.58362,0.00632,475,5250
0.0314,472,3059,2191,3,0.58267,0.00632,475,5250
0.0315,472,3056,2194,3,0.5821,0.00632,475,5250
0.0316,472,3052,2198,3,0.58133,0.00632,475,5250
0.0317,472,3051,2199,3,0.58114,0.00632,475,5250
0.0318,472,3049,2201,3,0.58076,0.00632,475,5250
0.0319,472,3047,2203,3,0.58038,0.00632,475,5250
0.032,472,3046,2204,3,0.58019,0.00632,475,5250
0.0321,472,3042,2208,3,0.57943,0.00632,475,5250
0.0322,472,3040,2210,3,0.57905,0.00632,475,5250
0.0323,472,3038,2212,3,0.57867,0.00632,475,5250
0.0324,472,3037,2213,3,0.57848,0.00632,475,5250
0.0325,472,3035,2215,3,0.5781,0.00632,475,5250
0.0326,472,3032,2218,3,0.57752,0.00632,475,5250
0.0327,472,3030,2220,3,0.57714,0.00632,475,5250
0.0328,472,3028,2222,3,0.57676,0.00632,475,5250
0.0329,472,3025,2225,3,0.57619,0.00632,475,5250
0.033,472,3022,2228,3,0.57562,0.00632,475,5250
0.0331,472,3021,2229,3,0.57543,0.00632,475,5250
0.0332,472,3021,2229,3,0.57543,0.00632,475,5250
0.0333,472,3021,2229,3,0.57543,0.00632,475,5250
0.0334,472,3021,2229,3,0.57543,0.00632,475,5250
0.0335,472,3017,2233,3,0.57467,0.00632,475,5250
0.0336,471,3016,2234,4,0.57448,0.00842,475,5250
0.0337,471,3012,2238,4,0.57371,0.00842,475,5250
0.0338,471,3006,2244,4,0.57257,0.00842,475,5250
0.0339,471,3002,2248,4,0.57181,0.00842,475,5250
0.034,471,3001,2249,4,0.57162,0.00842,475,5250
0.0341,471,2999,2251,4,0.57124,0.00842,475,5250
0.0342,471,2994,2256,4,0.57029,0.00842,475,5250
0.0343,471,2986,2264,4,0.56876,0.00842,475,5250
0.0344,471,2982,2268,4,0.568,0.00842,475,5250
0.0345,471,2975,2275,4,0.56667,0.00842,475,5250
0.0346,471,2973,2277,4,0.56629,0.00842,475,5250
0.0347,471,2969,2281,4,0.56552,0.00842,475,5250
0.0348,471,2968,2282,4,0.56533,0.00842,475,5250
0.0349,471,2963,2287,4,0.56438,0.00842,475,5250
0.035,471,2959,2291,4,0.56362,0.00842,475,5250
0.0351,471,2956,2294,4,0.56305,0.00842,475,5250
0.0352,471,2956,2294,4,0.56305,0.00842,475,5250
0.0353,471,2954,2296,4,0.56267,0.00842,475,5250
0.0354,471,2952,2298,4,0.56229,0.00842,475,5250
0.0355,471,2949,2301,4,0.56171,0.00842,475,5250
0.0356,471,2948,2302,4,0.56152,0.00842,475,5250
0.0357,471,2947,2303,4,0.56133,0.00842,475,5250
