PACKAGE_NAME,RISK_LEVEL,PROB_MALICIOUS,PREINSTALL
await-to-js-3.0.0,MEDIUM,0.14958,
aws-amplify__amplify-nodejs-function-template-provider-2.10.18,LOW,0.05077,
aws-crypto__crc32-5.2.0,LOW,0.05077,
aws-crypto__crc32c-5.2.0,LOW,0.05077,
aws-crypto__sha256-browser-5.2.0,LOW,0.05077,
aws-crypto__sha256-js-5.2.0,LOW,0.05011,
aws-elasticsearch-js-1.0.3,LOW,0.02244,
aws-kms-ethers-signer-0.1.3,LOW,0.04293,
aws-kms-signer-0.5.3,LOW,0.05079,
aws-sdk-js-v3-all-3.932.0,LOW,0.0,
aws-sdk-proxy-1.0.0,LOW,0.01385,
aws4fetch-1.0.20,LOW,2e-05,
ax-sdk-chatbot-1.1.6,LOW,0.03618,
axah__js-utils-3.1.0,LOW,0.05077,
axelar-network__axelarjs-types-1.2.1,LOW,0.00159,
axiomhq__js-1.3.1,LOW,0.04864,
axios-queue-js-1.1.6,LOW,0.05077,
axon-2.0.3,LOW,0.01008,
aylx__bpmn-js-behaviors-1.0.7,LOW,0.05077,
azns__resolver-core-2.1.0,MEDIUM,0.14665,
aztec__kv-store-2.1.7,LOW,0.05082,
aztro-js-0.1.5,LOW,0.04532,
azure-maps-drawing-tools-1.0.5,MEDIUM,0.16799,
azure-tools__js-sdk-release-tools-2.15.1,LOW,0.0,
azure-tools__test-recorder-3.5.2,LOW,0.02423,
azure__communication-email-1.1.0,MEDIUM,0.06338,
azure__event-hubs-6.0.0,MEDIUM,0.05181,
azure__msal-browser-4.26.2,LOW,0.0,
azure__msal-common-15.13.2,LOW,0.0,
baatomaps__baato-js-client-1.5.0,LOW,0.00293,
babel-istanbul-0.12.2,MEDIUM,0.14696,
babel-plugin-define-var-0.1.0,LOW,0.01244,
babel-plugin-dual-import-1.2.1,LOW,0.04296,
babel-plugin-ember-modules-api-polyfill-3.5.0,LOW,0.04891,
babel-plugin-emotion-11.0.0,LOW,0.05077,
babel-plugin-filbert-0.0.8,LOW,0.01385,
babel-plugin-inline-json-import-0.3.2,LOW,0.05077,
babel-plugin-js-logger-1.0.17,LOW,0.01385,
babel-plugin-polyfill-corejs2-0.4.14,LOW,0.01359,
babel-plugin-polyfill-corejs3-0.13.0,LOW,0.01385,
babel-plugin-tailwind-components-0.5.10,MEDIUM,0.14602,
babel-plugin-transform-import-css-1.0.0-alpha.11,LOW,0.02677,
babel-plugin-transform-import-styles-0.0.11,LOW,0.01262,
babel-plugin-wrap-in-js-1.1.1,LOW,0.05077,
babel-watch-7.8.1,LOW,0.03687,
babel__plugin-syntax-json-strings-7.8.3,LOW,0.01385,
babel__plugin-transform-json-strings-7.27.1,LOW,0.01385,
babel__runtime-corejs2-7.28.4,LOW,0.01396,
babel__runtime-corejs3-7.28.4,LOW,0.01397,
back-off-4.3.0,LOW,0.05077,
backbone-1.6.1,MEDIUM,0.14607,
backbone-poller-1.1.4,LOW,0.02715,
backend-js-1.5.10,LOW,0.04743,
backendless-js-services-core-0.8.15,LOW,0.0,
badger-accordion-1.2.4,LOW,0.05077,
bambusgamer__toolbox-5.1.1,LOW,0.05077,
banner-webpack-plugin-0.2.3,LOW,0.05077,
barnard59-env-1.2.7,LOW,0.05077,
barstool__entity-0.4.5,LOW,0.05077,
basalt__twig-renderer-3.2.7,LOW,0.00165,
base16-1.0.0,LOW,0.0,
base32.js-0.1.0,LOW,0.04508,
base58-js-3.0.3,LOW,0.04365,
base64-2.1.0,LOW,0.01385,
base64-js-1.5.1,LOW,0.01354,
baseframe-js-7.1.5,HIGH,0.22533,
basestar-0.0.8,LOW,0.05077,
basicauth-middleware-3.1.1,LOW,0.05077,
basis-theory__basis-theory-react-1.32.5,LOW,0.01372,
basketry__typescript-dtos-0.2.4,LOW,0.05077,
basketry__typescript-http-client-0.3.2,LOW,0.04148,
batch-processor-1.0.0,LOW,0.05077,
bazel__terser-5.8.1,LOW,1e-05,
bbob__core-4.3.1,MEDIUM,0.14602,
bcrypt-node-0.1.0,LOW,0.04699,
bcrypt-pbkdf-1.0.2,LOW,0.01385,
