Filename,Package Name,Risk Level,Malicious Probability,High Threshold,Medium Threshold
_dev-blinq+cucumber-js_1.0.131_1764726058_report.json,@dev-blinq/cucumber-js@1.0.131,HIGH,0.7748,0.7748,0.3440
url-encode-decode_1.0.1_1764727601_report.json,url-encode-decode@1.0.1,MEDIUM,0.5747,0.7748,0.3440
_voiceflow+tsconfig-paths_1.1.4_1764726913_report.json,@voiceflow/tsconfig-paths@1.1.4,HIGH,0.7748,0.7748,0.3440
_quick-start-soft+quick-document-translator_1.4.2511142126_1764726733_report.json,@quick-start-soft/quick-document-translator@1.4.2511142126,LOW,0.0634,0.7748,0.3440
_asyncapi+protobuf-schema-parser_3.5.2_1764725909_report.json,@asyncapi/protobuf-schema-parser@3.5.2,HIGH,1.0000,0.7748,0.3440
_mcp-use+cli_2.2.7_1764726405_report.json,@mcp-use/cli@2.2.7,HIGH,1.0000,0.7748,0.3440
react-keycloak-context_1.0.8_1764727496_report.json,react-keycloak-context@1.0.8,HIGH,0.9471,0.7748,0.3440
_voiceflow+encryption_0.3.2_1764726815_report.json,@voiceflow/encryption@0.3.2,HIGH,0.7748,0.7748,0.3440
axios-timed_1.0.2_1764727052_report.json,axios-timed@1.0.2,HIGH,0.9785,0.7748,0.3440
_asyncapi+server-api_0.16.24_1764726031_report.json,@asyncapi/server-api@0.16.24,HIGH,0.9500,0.7748,0.3440
designstudiouiux_1.0.1_1764727079_report.json,designstudiouiux@1.0.1,LOW,0.2441,0.7748,0.3440
_posthog+twitter-followers-plugin_0.0.8_1764726526_report.json,@posthog/twitter-followers-plugin@0.0.8,HIGH,0.9943,0.7748,0.3440
_asyncapi+protobuf-schema-parser_3.5.3_1764725908_report.json,@asyncapi/protobuf-schema-parser@3.5.3,HIGH,1.0000,0.7748,0.3440
_ensdomains+hardhat-chai-matchers-viem_0.1.15_1764726067_report.json,@ensdomains/hardhat-chai-matchers-viem@0.1.15,MEDIUM,0.6824,0.7748,0.3440
n8n-nodes-viral-app_0.2.5_1764727362_report.json,n8n-nodes-viral-app@0.2.5,MEDIUM,0.5747,0.7748,0.3440
_zapier+mcp-integration_3.0.1_1764727002_report.json,@zapier/mcp-integration@3.0.1,MEDIUM,0.6824,0.7748,0.3440
_postman+wdio-junit-reporter_0.0.6_1764726734_report.json,@postman/wdio-junit-reporter@0.0.6,HIGH,0.7748,0.7748,0.3440
expo-audio-session_0.2.1_1764727242_report.json,expo-audio-session@0.2.1,HIGH,0.9025,0.7748,0.3440
_asyncapi+converter_1.6.4_1764725718_report.json,@asyncapi/converter@1.6.4,HIGH,0.7748,0.7748,0.3440
_voiceflow+runtime-client-js_1.17.2_1764726903_report.json,@voiceflow/runtime-client-js@1.17.2,LOW,0.0634,0.7748,0.3440
jsonsurge_1.0.7_1764727235_report.json,jsonsurge@1.0.7,MEDIUM,0.3440,0.7748,0.3440
_ensdomains+ccip-read-worker-viem_0.0.4_1764726059_report.json,@ensdomains/ccip-read-worker-viem@0.0.4,MEDIUM,0.6824,0.7748,0.3440
_ifelsedeveloper+protocol-contracts-svm-idl_0.1.2_1764726150_report.json,@ifelsedeveloper/protocol-contracts-svm-idl@0.1.2,HIGH,0.7748,0.7748,0.3440
_actbase+react-native-naver-login_1.0.1_1764725653_report.json,@actbase/react-native-naver-login@1.0.1,HIGH,0.7748,0.7748,0.3440
_postman+wdio-junit-reporter_0.0.4_1764726736_report.json,@postman/wdio-junit-reporter@0.0.4,HIGH,0.7748,0.7748,0.3440
discord-bot-server_0.1.2_1764727123_report.json,discord-bot-server@0.1.2,HIGH,0.7748,0.7748,0.3440
_postman+postman-mcp-cli_1.0.4_1764726638_report.json,@postman/postman-mcp-cli@1.0.4,MEDIUM,0.3440,0.7748,0.3440
medusa-plugin-logs_0.0.17_1764727351_report.json,medusa-plugin-logs@0.0.17,LOW,0.0634,0.7748,0.3440
_voiceflow+exception_1.10.2_1764726819_report.json,@voiceflow/exception@1.10.2,HIGH,0.7748,0.7748,0.3440
