Package_Name,Dynamic_Prob,Dynamic_Risk_Level,Static_Prob,Static_Risk_Level
@accordproject/concerto-types,0.7748,HIGH,0.88301,HIGH
@browserbasehq/director-ai,0.344,MEDIUM,0.99851,HIGH
posthog-node,0.0634,LOW,0,HIGH
posthog-node,0.7748,HIGH,0,HIGH
posthog-node,0.0634,LOW,0,HIGH
generator-ng-itobuz,0.0634,LOW,0.88033,HIGH
exact-ticker,0.7748,HIGH,0.87973,HIGH
test-hardhat-app,0.0634,LOW,0.04639,HIGH
test-hardhat-app,0.0634,LOW,0.04639,HIGH
@postman/wdio-allure-reporter,0.7748,HIGH,0,HIGH
@postman/wdio-allure-reporter,0.7748,HIGH,0,HIGH
@postman/wdio-allure-reporter,0.7748,HIGH,0,HIGH
@asyncapi/nodejs-template,0.7748,HIGH,0.96629,HIGH
@markvivanco/app-version-checker,1,HIGH,0.04778,HIGH
@markvivanco/app-version-checker,1,HIGH,0.04778,HIGH
@postman/postman-mcp-server,1,HIGH,0.05663,HIGH
@postman/postman-mcp-server,1,HIGH,0.05663,HIGH
vf-oss-template,0.9943,HIGH,0,HIGH
vf-oss-template,0.9943,HIGH,0,HIGH
vf-oss-template,0.9943,HIGH,0,HIGH
@voiceflow/backend-utils,0.0634,LOW,0.04673,HIGH
@voiceflow/backend-utils,0.0634,LOW,0.04673,HIGH
@asyncapi/nunjucks-filters,0.5747,MEDIUM,0.8798,HIGH
@vishadtyagi/full-year-calendar,0.344,MEDIUM,0.88033,HIGH
poper-react-sdk,0.7748,HIGH,0.87968,HIGH
@trpc-rate-limiter/hono,0.7748,HIGH,0.87987,HIGH
@asyncapi/specs,1,HIGH,0.00001,HIGH
@asyncapi/specs,1,HIGH,0.00001,HIGH
@asyncapi/specs,1,HIGH,0.00001,HIGH
rediff-viewer,1,HIGH,0.91408,HIGH
claude-token-updater,0.0634,LOW,1,HIGH
@voiceflow/common,0.7748,HIGH,0.0591,HIGH
@voiceflow/common,0.7748,HIGH,0.0591,HIGH
@voiceflow/pino,0,LOW,0.07146,HIGH
@voiceflow/pino,0,LOW,0.07146,HIGH
@postman/secret-scanner-wasm,0.344,MEDIUM,0,HIGH
@postman/secret-scanner-wasm,0.2237,LOW,0,HIGH
@postman/secret-scanner-wasm,0.344,MEDIUM,0,HIGH
coinmarketcap-api,0.9943,HIGH,0.04641,HIGH
coinmarketcap-api,0.9943,HIGH,0.04641,HIGH
@browserbasehq/sdk-functions,0.6824,MEDIUM,0.87809,HIGH
create-mcp-use-app,0.995,HIGH,0.0446,HIGH
create-mcp-use-app,0.6824,MEDIUM,0.0446,HIGH
posthog-react-native,0.0634,LOW,0.04327,HIGH
posthog-react-native,0.0634,LOW,0.04327,HIGH
@seung-ju/next,0.5747,MEDIUM,0.63283,HIGH
@posthog/postgres-plugin,0.7748,HIGH,0.87982,HIGH
react-library-setup,1,HIGH,0.88021,HIGH
@posthog/heartbeat-plugin,0.7748,HIGH,0.88028,HIGH
@asyncapi/python-paho-template,0.5747,MEDIUM,0.96582,HIGH
@osmanekrem/bmad,0.6824,MEDIUM,0.00716,HIGH
tcsp,0.0634,LOW,0.83537,HIGH
@clausehq/flows-step-sendgridemail,0.7748,HIGH,0.87993,HIGH
@postman/pm-bin-linux-x64,0.2441,LOW,0,HIGH
@postman/pm-bin-linux-x64,0.2441,LOW,0,HIGH
@postman/pm-bin-linux-x64,0.2441,LOW,0,HIGH
@pradhumngautam/common-app,0.7748,HIGH,0.8797,HIGH
feature-flip,0.7748,HIGH,0.87974,HIGH
zuper-sdk,0.7748,HIGH,0.98523,HIGH
@accordproject/concerto-linter-default-ruleset,0.7748,HIGH,0.87991,HIGH
react-native-google-maps-directions,0.5747,MEDIUM,0.87987,HIGH
@ntnx/t,0.0634,LOW,0.8806,HIGH
@voiceflow/logger,0.7748,HIGH,0.04661,HIGH
@voiceflow/logger,0.7748,HIGH,0.04661,HIGH
@kvytech/medusa-plugin-promotion,0.53,MEDIUM,0.6349,HIGH
@asyncapi/modelina,1,HIGH,0.21223,HIGH
@asyncapi/modelina,1,HIGH,0.21223,HIGH
@posthog/hedgehog-mode,0.0634,LOW,0.88974,HIGH
@voiceflow/api-sdk,0.7748,HIGH,0.04433,HIGH
